"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4s5MyMeElBghgUmSihtic9","BB's Theme","spotify:artist:2nrb04b45LG5tjuHHzK5lc, spotify:artist:0QXISEsGJSrlBCYIfQdz5K","Ludvig Forssell, Jenny Plant","spotify:album:5e4LO7QzLLN6sSs9RlaawU","Death Stranding (Original Score)","spotify:artist:2nrb04b45LG5tjuHHzK5lc","Ludvig Forssell","2019-11-08","https://i.scdn.co/image/ab67616d0000b2739c2478187fa5d888a1105193","1","18","316520","https://p.scdn.co/mp3-preview/e333fc58f88c4686857859d364710071b584ad8d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USGSS1900344","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1xhcY7o1NeGfXyY3F2FTqb","Floating","spotify:artist:7DtY32Tn17ptmt4RCHnVZs","Andreas Byrsting","spotify:album:4cZbaB9K8rj9cIlFCOQK0G","Floating","spotify:artist:7DtY32Tn17ptmt4RCHnVZs","Andreas Byrsting","2019-11-01","https://i.scdn.co/image/ab67616d0000b27366b7512ee533e63883547f77","1","1","253727","https://p.scdn.co/mp3-preview/038c8ab7856e1a2db7fbd4c1e6a1fef0e349cfae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","QZHN91998431","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1Qhqq6sDqZ6j0bdlkFgOQL","Royal Beggars","spotify:artist:0JLPvCgJch8H8gdiez8HSY","Christina Rotondo","spotify:album:1zQFyNix5uqPNBtjSIg88h","Ambient Covers, Vol. 1","spotify:artist:0JLPvCgJch8H8gdiez8HSY","Christina Rotondo","2020-10-20","https://i.scdn.co/image/ab67616d0000b273fd25d91faaaea812a8fb92f1","1","9","235887","https://p.scdn.co/mp3-preview/fcbad070862fe8f44d6424e76595530e4f4859dd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","QZ22B2014093","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:06rvbZ4afpwbyfwScOISaU","Unti-L","spotify:artist:2EWXgN0xWOnbqJOxa9pWNO, spotify:artist:5pjjlQXYjoMFWdjdKOre9s","SawanoHiroyuki[nZk], ASCA","spotify:album:34UE0ATLRzLTX2hytQnzu0","R∃/MEMBER","spotify:artist:2EWXgN0xWOnbqJOxa9pWNO","SawanoHiroyuki[nZk]","2019-03-06","https://i.scdn.co/image/ab67616d0000b273479313307f6c3b116041711d","1","9","243693","https://p.scdn.co/mp3-preview/5d644b9ad684490a4126c07340a17c09422aaa20?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","JPU901900253","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7BLwqw4UBgJXwBMVCfc0MZ","Demon","spotify:artist:3a6654FjNDkULXLzZKXJC6, spotify:artist:6wNmjGY56R8paIPEtxkVkb, spotify:artist:0XURMEB81vOurKFntVmbBV","Jathan, Judah Michael, Nathan Wagner","spotify:album:4qhGpgzpfDNg07YIv57PLp","Demon","spotify:artist:3a6654FjNDkULXLzZKXJC6","Jathan","2020-02-26","https://i.scdn.co/image/ab67616d0000b273ed3a4244d839096a93379610","1","1","208965","https://p.scdn.co/mp3-preview/3902f52e2c205511045dd1984b86bfceddcc9c47?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","QZFZ52024908","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7i3YqtsWQhr5MQmhCF25hS","Army","spotify:artist:5mXk5yufaVz1wTuEAiaBN6, spotify:artist:58OT6Rhdj8R1bIkeXPlLdP, spotify:artist:2hM7Rb0V5wKjvDEgYt1zed","Stereohats, Folded Dragons, Amanda Yang","spotify:album:1oj7XMyqzeYEhKPNpUsCX1","Army","spotify:artist:5mXk5yufaVz1wTuEAiaBN6, spotify:artist:58OT6Rhdj8R1bIkeXPlLdP, spotify:artist:2hM7Rb0V5wKjvDEgYt1zed","Stereohats, Folded Dragons, Amanda Yang","2019-09-10","https://i.scdn.co/image/ab67616d0000b273667abebe4274b33c1054fc7c","1","1","230033","https://p.scdn.co/mp3-preview/e4376256051bff936e091d8fcc8765cb294c7d6e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","QM24S1924634","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7jaC3XuuoX61Nlq0SIucJD","Last Chance","spotify:artist:483Rl4WY6iIJ9czOrOgymb, spotify:artist:0bZFf9h4Rj11L1jG0EUopR","Kabes, Felucia","spotify:album:4AVPY3rDiG6YUmkplDG6Vs","Last Chance","spotify:artist:483Rl4WY6iIJ9czOrOgymb, spotify:artist:0bZFf9h4Rj11L1jG0EUopR","Kabes, Felucia","2020-05-01","https://i.scdn.co/image/ab67616d0000b2738d9f09c933ba63293079683e","1","1","202191","","false","33","DEUM72002374","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4CGDqCZ8L3rt9egs2K3ibq","You Say Run (From ""My Hero Academia"") [Epic Orchestral Version]","spotify:artist:6rhhylzloJVDD6FqMNxVKj","Pharozen","spotify:album:1Ymo0sjOZwZAMAujOpoQeB","Anime Meets Orchestral, Vol. 1","spotify:artist:6rhhylzloJVDD6FqMNxVKj","Pharozen","2021-09-20","https://i.scdn.co/image/ab67616d0000b273823ce70bc102f73a0c8c6556","1","10","223636","https://p.scdn.co/mp3-preview/9c44a6f869021831d11506000ed7ed719879a8db?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","QZGWX2112015","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5VyCDHRvFdCzCDM1KioYTe","Cold Illusions","spotify:artist:2Yq9kmjDSKLpCBa6OhrmeV","Ryan Greaves","spotify:album:1pohWxM8vc1rR1KpbxSJ19","TVアニメ「盾の勇者の成り上がり」オリジナル・サウンドトラック “Dawn”","spotify:artist:4S33gEeiCjwfD1FJKfMT3Y","Kevin Penkin","2019-06-19","https://i.scdn.co/image/ab67616d0000b27364126fb2c2489aa1e5453ffd","2","19","180880","https://p.scdn.co/mp3-preview/3c7351a9a795c49b3fe33795c1d65089ab75cc8b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","JPCO01915220","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:41MWlQgZ30zXjOUoyjot60","Not Alone","spotify:artist:0W1c3yyZNy1KtX7SRF3VNe","Forgét Mej","spotify:album:3tNkEeEtxGxkqxwaZLRTzf","Stellaris","spotify:artist:0W1c3yyZNy1KtX7SRF3VNe","Forgét Mej","2020-05-29","https://i.scdn.co/image/ab67616d0000b2736ef41964b08f975775a330b0","1","1","162642","https://p.scdn.co/mp3-preview/7df99029f8c57aa90213576fb9db1b44784a168d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","SE6MN2000301","spotify:user:","1970-01-01T00:00:00Z"
